date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message,topic
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,読売新聞,,,,skipped,robots.txtが一般クローラー/AI系UAを名指しで包括的にDisallow。2024年1月のToS改定で自動収集・生成AI学習目的の収集を明示的に禁止しているため、自動取得の対象外とする。,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,熱海土石流の「思い出の品」、今も千点保管 過去の被災地では廃棄も,http://www.asahi.com/articles/ASV8R0GTGV8RUTPB004M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,横浜園芸博前売り券、発売5カ月で200万枚超え 企業購入など好調,http://www.asahi.com/articles/ASV8V33D2V8VULOB00XM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,「爆撃で呼び出し」も ウクライナの「アキオ」にわいた情と疑念,http://www.asahi.com/articles/ASV8T3K81V8TOIPE016M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,生活道路の30キロ規制「浸透してほしい」 ドライバー周知に課題も,http://www.asahi.com/articles/ASV8V2J1RV8VUTIL03JM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,生活道路の法定速度60→30キロに、9月から 一般道の6~7割か,http://www.asahi.com/articles/ASV8V2F1GV8VUTIL00QM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,娘と別れた男子中学生に脅迫メール数千件? 母親を逮捕 北海道警,http://www.asahi.com/articles/ASV8V4HCWV8VIIPE010M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,中3への指導「違法」、鹿児島市に賠償命令 自殺の予見可能性は否定,http://www.asahi.com/articles/ASV8V3TTWV8VTLTB00HM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,ぶつ切り新幹線どうつなげる? 西九州、アセスへ技術検討会が始動,http://www.asahi.com/articles/ASV8V3F8PV8VTTHB002M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,道路脇に手榴弾?小学校に避難指示、自衛隊出動も「おもちゃ」と判明,http://www.asahi.com/articles/ASV8V35FRV8VIIPE00CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,授業準備や子どもの相談対応の時間ある? 学校の管理職と現場にずれ,http://www.asahi.com/articles/ASV8V2WB9V8VOXIE02GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,「選手村造らない」アジア大会 コンテナ型施設並ぶ交流拠点が完成,http://www.asahi.com/articles/ASV8V33SFV8VOIPE007M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,関西六大学連盟の龍谷大学硬式野球部が活動停止 問題行為を受け,http://www.asahi.com/articles/ASV8V248VV8VPLZB00LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,球界最年長のヤクルト・石川が1軍合流 「結果を残すことに集中」,http://www.asahi.com/articles/ASV8T3SH2V8TUTQP01GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,全中スケート後継大会、長野市など主体で運営へ 荻原健司市長が表明,http://www.asahi.com/articles/ASV8T3JLHV8TUOOB00CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,楽天がドミニカ出身右腕と育成契約 独立・香川から久々のNPB選手,http://www.asahi.com/articles/ASV8T2QHPV8TPLXB003M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,100万匹の虫を育てるアース製研究員が語る、猛暑で変わる虫の世界,http://www.asahi.com/articles/ASV8J1TY4V8JPLFA00BM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,在宅勤務、見直し機運高まる 「ハイブリッド型」で管理職の負担増も,http://www.asahi.com/articles/ASV8V0TFQV8VULFA00LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,楽天支えたau回線、貸し出し終了へ 蜜月変えた最強プランの誤算,http://www.asahi.com/articles/ASV8T4DKCV8TULFA01DM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,中部電力、浜岡原発の廃炉作業めぐり不適切な手続き 近く公表へ,http://www.asahi.com/articles/ASV8V46R2V8VULFA01PM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,MUFG、ポイント還元率変動のクレカ 資産残高に応じ最大1.6%,http://www.asahi.com/articles/ASV8V35C5V8VULFA016M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,茂木外相、クウェートの外相と会談 安定的な原油供給めぐり議論,http://www.asahi.com/articles/ASV8V3C8KV8VUTFK00BM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,政治
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,【まとめてわかる】沖縄知事選9月13日投開票 過去の争点、今回は,http://www.asahi.com/articles/ASV8V1G9FV8VUTIL02RM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,政治
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,「自民から持ちかけ」 沖縄県知事選の立候補取り下げ、下地氏が会見,http://www.asahi.com/articles/ASV8V3JGMV8VUTIL01ZM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,政治
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,アニメなどクリエーター支援 予算倍増650億円を要求へ 文化庁,http://www.asahi.com/articles/ASV8V3HCVV8VUCVL01ZM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,パワハラ認定の横浜市長に「タイムリミット」 議会側が不信任案準備,http://www.asahi.com/articles/ASV8V36JKV8VULOB00NM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,政治
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,母親が我が子3人を殺害、原因は産後の「精神病」なのか 全米が注目,http://www.asahi.com/articles/ASV8T0HHRV8TUHBI00LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,国際
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,ネパールで鉄砲水、157人死亡 ツアー参加の日本人5人連絡取れず,http://www.asahi.com/articles/ASV8V45KXV8VUHBI01TM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,国際
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,SNS1日2時間に制限 子どもの依存訴訟、メタが2.8兆円で和解,http://www.asahi.com/articles/ASV8V5SN9V8VUHBI022M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,国際
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,【会見詳報】「決して負けない」 ICC赤根所長が会見で語ったこと,http://www.asahi.com/articles/ASV8V43QVV8VUHBI012M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,国際
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,米制裁下のICC赤根所長「正義の信念貫く」 強気の陰で「号泣」も,http://www.asahi.com/articles/ASV8V3VJ2V8VUHBI02CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,国際
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,流れは一力遼名人、盤石か 芝野虎丸挑戦者はつらい展開 囲碁名人戦,http://www.asahi.com/articles/ASV8V436TV8VUCVL035M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,文化芸能
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,人生は煮込み料理 綾戸智恵さんの「ええダシ出てる!」引き算の音楽,http://www.asahi.com/articles/ASV8B2138V8BUPQJ00PM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,文化芸能
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,芝野虎丸挑戦者が見損じか 流れは一気に一力遼名人へ 囲碁名人戦,http://www.asahi.com/articles/ASV8T3QG7V8TUCVL00GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,文化芸能
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,今年の24時間テレビは29、30日放送 「家族」通じ社会を考える,http://www.asahi.com/articles/ASV8V1S9HV8VUCVL03CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,原発テロ対策施設、設置期限を延長へ 規制委が決定 女川は停止回避,http://www.asahi.com/articles/ASV8V14XQV8VUTFL01GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,線状降水帯の「正体」とは 地球温暖化の影響の実際と心配のありか,http://www.asahi.com/articles/ASV8S1QQ1V8SUPQJ001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,美浜3号機、50年超運転へ 規制委が大筋了承、蒸気漏れ防止も要求,http://www.asahi.com/articles/ASV8T2QVPV8TUTFL00SM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,「がんこ」創業者、小嶋淳司さん死去 たたき上げの知恵で財界に貢献,http://www.asahi.com/articles/ASV8T3QYZV8TPLFA00GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,おくやみ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,エッセイストの玉村豊男さん死去、80歳 長野・東御市でワイナリー,http://www.asahi.com/articles/ASV8T1C4MV8TUCVL00VM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,おくやみ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,朝日新聞,元衆院議長の綿貫民輔氏死去、99歳 郵政民営化反対で自民一時除名,http://www.asahi.com/articles/ASV8S11GZV8SPJLB002M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,おくやみ
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,前橋駅北の五差路に改良プロジェクト 山本知事と小川市長が視察,https://mainichi.jp/articles/20260826/k00/00m/040/223000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,石川県立羽咋高校が登校禁止「周辺の道路冠水」 大雨特別警報で,https://mainichi.jp/articles/20260827/k00/00m/040/020000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,教育のいま:元ブルーハーツ梶原さん 「一番ヘビーだった時期」に寄せる思い,https://mainichi.jp/articles/20260826/k00/00m/100/178000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,ネパール大洪水 橋や道路が40キロにわたり損壊、発電所流される,https://mainichi.jp/articles/20260827/k00/00m/030/015000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,NY円、159円台前半 日米金利差を意識、円売りやや優勢,https://mainichi.jp/articles/20260827/k00/00m/020/014000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,北海道新幹線建設沿線にニホンザリガニ広く生息 北大など調査,https://mainichi.jp/articles/20260826/k00/00m/040/226000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,「はだしのゲン」と共に 米美術家メル・チンさんが呼び覚ます声,https://mainichi.jp/articles/20260824/k00/00m/200/289000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,石川、富山に「緊急安全確保」 命を守る行動を 大雨特別警報,https://mainichi.jp/articles/20260827/k00/00m/040/012000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,大型望遠鏡、打ち上げへ ハッブルの数千年分をわずか5年で観測,https://mainichi.jp/articles/20260826/k00/00m/040/380000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,中国向けレアアース採掘、ミャンマーで急増 「紛争経済」指摘も,https://mainichi.jp/articles/20260826/k00/00m/030/390000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,トランプ氏、対イラン協議巡り「まったく急がない」 制裁に自信,https://mainichi.jp/articles/20260827/k00/00m/030/009000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,富山、石川に大雨特別警報 線状降水帯が発生 気象庁,https://mainichi.jp/articles/20260827/k00/00m/040/010000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,東京都、私立中の授業料支援を最大12万円に増額 所得制限なし,https://mainichi.jp/articles/20260825/k00/00m/040/150000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,「戦力外」から再び輝き 東邦ガスの大黒柱は元ヤクルト右腕,https://mainichi.jp/articles/20260825/k00/00m/050/088000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,知床沈没事故で露呈 海上の通信不良「スターリンク」で改善へ,https://mainichi.jp/articles/20260826/k00/00m/040/305000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,もっと社会人野球:JR四国の「虎太郎」 コロナで諦めかけた野球で今、目指すもの,https://mainichi.jp/articles/20260826/k00/00m/050/194000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,仕事仲間を殴り死亡させたか 男性を傷害致死容疑で再逮捕へ,https://mainichi.jp/articles/20260826/k00/00m/040/140000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,もっと社会人野球:「東大球児」が語る社会人球界「サバイバル術」の神髄 都市対抗,https://mainichi.jp/articles/20260826/k00/00m/050/227000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,AI新世紀:「人類絶滅が近づいた」 AI研究の巨匠ベンジオ氏の警告,https://mainichi.jp/articles/20260825/k00/00m/040/049000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,毎日新聞,経済プラス:かつて石油業界が反発 復活したナフサ備蓄が直面する厳しい現状,https://mainichi.jp/articles/20260826/k00/00m/020/320000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,,ニュース
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,日本経済新聞,,,,skipped,公式無料RSSなし。著作権ページで自動収集を明確に禁止しているため、自動取得の対象外とする。,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,産経新聞,富山、石川にレベル5大雨特別警報 避難行動を富山、石川にレベル5大雨特別警報 避難行動を,https://www.sankei.com/article/20260827-JJS6YAYKMBJT5DCLMTMUW3IEGM/,https://www.sankei.com/,ok,,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,産経新聞,世界遺産認定 快挙生んだ考古学者の苦闘 百年にわたる魂の系譜...,https://www.sankei.com/article/20260815-QFGOV26NZFOPTOI5VG332AGYEA/?outputType=theme_election2026,https://www.sankei.com/,ok,,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,産経新聞,政府が外国と疑われる不審アカウント把握 高市首相「選挙への影...,https://www.sankei.com/article/20260318-U6PW4754BNE3XKFYBTQWPKM65A/?outputType=theme_election2026,https://www.sankei.com/,ok,,
2026-08-27,2026-08-27T09:18:21.980184+09:00,全国紙,全国,産経新聞,衆院選で国会議員の部屋割り一変 小沢、岡田、安住氏ら自民に明...,https://www.sankei.com/article/20260304-C5JCVB743FEVZMNEAU76GY4VNQ/?outputType=theme_election2026,https://www.sankei.com/,ok,,
