date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message,topic
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,読売新聞,,,,skipped,robots.txtが一般クローラー/AI系UAを名指しで包括的にDisallow。2024年1月のToS改定で自動収集・生成AI学習目的の収集を明示的に禁止しているため、自動取得の対象外とする。,
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,熊本地震2日後、女性は車中で息絶えた 寝苦しい夜に何が起きたのか,http://www.asahi.com/articles/ASV8B1FNLV8BPTIL001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,熊本地震、教訓はいかされたのか 10年前の被災知る県知事に聞く,http://www.asahi.com/articles/ASV8B1Q2BV8BUJUB00SM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,熊本地震2週間、いまも6千人避難 暑さ深刻、熱中症の搬送273件,http://www.asahi.com/articles/ASV8B4H7KV8BTIPE00QM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,中日ドラゴンズ・嶋ヘッドコーチの車が自転車と衝突 東京・小金井,http://www.asahi.com/articles/ASV8B4H1YV8BUTIL017M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,長女が投げ銭1千万円以上、金銭トラブル背景か 千葉の母親殺害容疑,http://www.asahi.com/articles/ASV8B3D7FV8BUDCB00SM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,バスが追突し逃走か「事故の記憶無い」運転手否認 部活の高校生乗車,http://www.asahi.com/articles/ASV8B3SJQV8BUTNB005M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,お湯や水いらずの乳児用液体ミルク、熊本へ4500本 東京都が発送,http://www.asahi.com/articles/ASV8B3GJXV8BOXIE03YM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,愛知・大治町長辞職に町議会が同意 町長「自身でも無念」,http://www.asahi.com/articles/ASV8B2TJ9V8BOIPE007M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,海水浴場で親子3人が流され、小3の息子と中1の娘が死亡 新潟市,http://www.asahi.com/articles/ASV8B1QN6V8BUOHB002M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-08-11,2026-08-11T06:28:57.220326+09:00,全国紙,全国,朝日新聞,「匿流は潜在化」スマホ情報の遠隔入手、新手法導入に向け検討会開催,http://www.asahi.com/articles/ASV8B2JSZV8BUTIL006M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
