date,article_count,ok_count,skipped_count,error_count
2026-09-01,2040,2031,8,1
2026-09-02,1736,1727,8,1
2026-09-03,1748,1739,8,1
2026-09-04,1751,1742,8,1
2026-09-05,1568,1559,8,1
2026-09-06,1492,1483,8,1
2026-09-07,1233,1224,8,1
2026-09-08,2260,2251,8,1
2026-09-09,1227,1218,8,1
