date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message,topic
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,読売新聞,,,,skipped,robots.txtが一般クローラー/AI系UAを名指しで包括的にDisallow。2024年1月のToS改定で自動収集・生成AI学習目的の収集を明示的に禁止しているため、自動取得の対象外とする。,
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,40代男性の腹部や顔を刺した疑い、男逮捕 部屋退去巡りトラブルか,http://www.asahi.com/articles/ASV973SHZV97UTIL025M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,有罪立証に使われた証拠、取り調べはせず 日野町事件再審で検察同意,http://www.asahi.com/articles/ASV973GT2V97PTJB00WM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,社員による駅伝大会で熱中症死、遺族が賠償提訴 会社などの責任焦点,http://www.asahi.com/articles/ASV973GJ3V97ULFA00LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,詐欺の「かけ子」海外移送しようとした疑い 警察官かたる台本も発見,http://www.asahi.com/articles/ASV973CMCV97PITB00CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,乳児殺害事件、「ネグレクトの疑い」で職員が8月訪問 死因は窒息か,http://www.asahi.com/articles/ASV97354VV97PITB00BM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,死亡の会社役員宅を家宅捜索、事件に関与の疑い 岐阜のケーキ店火災,http://www.asahi.com/articles/ASV9733HTV97OIPE001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,アンダーパスでまた犠牲者 全国3841カ所、予防策導入も網羅困難,http://www.asahi.com/articles/ASV972PSWV97UTIL01RM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,身元不明女性の似顔絵公開 北九州市の海上で遺体見つかる 福岡県警,http://www.asahi.com/articles/ASV972FZ4V97TIPE00WM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,医療的ケア児が楽しめる花火大会を 家族らがクラファン、13日まで,http://www.asahi.com/articles/ASV970C7NV97PQIP00DM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,大雨で相次いだ運行減便 その理由、運休との違いは?JRに聞いた,http://www.asahi.com/articles/ASV971P84V97UTIL00CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,アジア大会選手、中部空港で入国始まる 陸上トラックのお出迎えも,http://www.asahi.com/articles/ASV943RKQV94OIPE00PM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,吉井理人が考える令和のコーチ論 佐々木朗希の「ある変化」で痛感,http://www.asahi.com/articles/ASV931JSTV93UTQP01VM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,小笠原が巨人で初完封 前夜の10人登板は「何かのメッセージ」,http://www.asahi.com/articles/ASV964K06V96PTQP00HM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,「まさか」新ルールに泣いた中田璃士 ジャンプ制限、他選手も苦慮,http://www.asahi.com/articles/ASV954Q4QV95PTQP01GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,活動停止明けの龍谷大が秋季リーグ初戦 主将「応援されるチームに」,http://www.asahi.com/articles/ASV953SMQV95PTQP003M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,日立、ノキア製ドローン販売 自動飛行でインフラ点検,http://www.asahi.com/articles/ASV9731JTV97ULFA015M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,対ドル円相場、半年ぶり一時154円台 為替介入時の円高ライン超え,http://www.asahi.com/articles/ASV972T9QV97ULFA01LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,みずほ楽天カード、還元率2%「業界最高水準」ポイントで巻き返しへ,http://www.asahi.com/articles/ASV945WG5V94ULFA02BM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,クレカ識者「みずほの2%還元、すごいが...」カード選びのポイントは,http://www.asahi.com/articles/ASV970Q70V97ULFA006M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,韓国に奪われたLNG船「復活」できるか 世界1位→建造ゼロの日本,http://www.asahi.com/articles/ASV9251M1V92ULFA001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,内閣改造・党人事、16日にも 首相、 臨時国会へ早期の体制固め,http://www.asahi.com/articles/ASV973JGYV97UQIP014M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,政治
2026-09-08,2026-09-08T00:22:47.043425+09:00,全国紙,全国,朝日新聞,小泉防衛相、日鉄呉の跡地を視察 「多機能な複合防衛拠点」整備で,http://www.asahi.com/articles/ASV973D0XV97UTFK00FM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,政治
