date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,辺野古沖転覆事故めぐり、知事の責任が論戦の的に ポイントを整理,http://www.asahi.com/articles/ASV7P3K0KV7PTPOB001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,延長国会の焦点、副首都法案は綱渡り 実質3日「通ってもギリギリ」,http://www.asahi.com/articles/ASV7P3DS4V7PUTFK008M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,高市首相「0~3時間睡眠が常態化」 Xに投稿、「明け方まで資料」,http://www.asahi.com/articles/ASV7P3RG3V7PUTFK016M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,新幹線アセス合意、佐賀の市長から評価の声「地域振興に踏み込んだ」,http://www.asahi.com/articles/ASV7P3CR1V7PTTHB009M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,イラン攻撃、米国の戦費は6兆円超 国防長官が証言 戦闘継続の構え,http://www.asahi.com/articles/ASV7P74YRV7PUHBI043M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,トルコ「建国の父の党」分裂 弱体化でエルドアン政権の強権加速か,http://www.asahi.com/articles/ASV7P6KWPV7PUHBI03QM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,ウクライナ軍総司令官が解任 人気の国防相と対立、市民が大規模抗議,http://www.asahi.com/articles/ASV7P6FY8V7PUHBI03LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,ASEAN関連外相会議を開催 中国とフィリピン、南シナ海巡り対立,http://www.asahi.com/articles/ASV7P3PLDV7PUHBI02LM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,「自治体任せではなく、国が移民を包摂する政策を」モスク・土葬問題,http://www.asahi.com/articles/ASV7J22QHV7JUHBI00GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,洛北・修学院離宮に祇園祭の華麗山鉾「杉戸絵」 客殿の模写公開,http://www.asahi.com/articles/ASV7P3FWGV7PPLZB001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,許家元九段が2敗守る 名人挑戦をかけ、芝野虎丸棋聖と直接対決へ,http://www.asahi.com/articles/ASV7N4T0RV7NUCVL01MM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,西日本4社が多彩な3千発で魅了 姫路・SHIRASAGI花火大会,http://www.asahi.com/articles/ASV7N20NLV7NPIHB007M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,夏休みの宿題、AIでやっていたら... 識者が考える「声かけ」とNG,http://www.asahi.com/articles/ASV7K538ZV7KUHBI02DM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,「おしん」「はね駒」のプロデューサー小林由紀子さん死去、 86歳,http://www.asahi.com/articles/ASV7P21M2V7PUCVL01VM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,「ぼくのミックスジュース」作曲の渋谷毅さん死去 ジャズピアニスト,http://www.asahi.com/articles/ASV7K43PZV7KUCVL03YM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,朝日新聞,「ルパン三世」の峰不二子役、二階堂有希子さん死去 夫は柳生博さん,http://www.asahi.com/articles/ASV7K3H71V7KUCVL02VM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,漬物石を滑らせて カーリングならぬスライドストーンの魅力,https://mainichi.jp/articles/20260719/k00/00m/040/269000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,みんなの高校ラグビー:部員3人から再出発した日向 初の全国7人制ラグビー大会へ,https://mainichi.jp/articles/20260720/k00/00m/050/131000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,夏休みは倍量配送 困窮子育て世帯を支援 名古屋のフードバンク,https://mainichi.jp/articles/20260721/k00/00m/040/040000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,母は今どこに スーチー氏「姉」と呼ぶも息子には会わせない政権,https://mainichi.jp/articles/20260721/k00/00m/030/138000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,中3英語力全国1位のさいたま市 秘策は小学校からの「英語脳」,https://mainichi.jp/articles/20260721/k00/00m/040/102000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,裁判Plus 司法のリアル:最後は警察に囲まれて 「普通の主婦」がはまり込んだSNSの沼,https://mainichi.jp/articles/20260717/k00/00m/040/001000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,優美さと調和 浮かぶ情景と大胆な筆 私の推す毎日賞/下,https://mainichi.jp/articles/20260715/k00/00m/200/225000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,レバノン大統領、17年ぶりホワイトハウス訪問 トランプ氏と会談,https://mainichi.jp/articles/20260722/k00/00m/030/012000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,「海の日」に海運の世界を紹介 最新LNG燃料自動車船、模型も,https://mainichi.jp/articles/20260721/k00/00m/040/179000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,やまゆり園事件10年:やまゆり園で重傷の息子、今は地域で 父が感じる障害者の幸せ,https://mainichi.jp/articles/20260721/k00/00m/040/119000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,安彦良和さんが「ルックバック」監督と対談 称賛したシーンは...,https://mainichi.jp/articles/20260721/k00/00m/200/107000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,テラ・クライシス:スマホに眠るレアメタルを採掘せよ 回収率向上の鍵は「データ」,https://mainichi.jp/articles/20260714/k00/00m/040/365000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,読む政治:高市政権「終わりの始まり」? 野党が攻勢、支持率回復のカギは,https://mainichi.jp/articles/20260721/k00/00m/010/304000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,円下落、一時1ドル163円台 39年半ぶり円安水準 NY外為,https://mainichi.jp/articles/20260722/k00/00m/020/005000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,巨人・山崎伊織が今季初勝利 「もっともっとよくできる」,https://mainichi.jp/articles/20260721/k00/00m/050/411000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,ベネズエラ地震 緊急援助隊の第1陣が帰国 800人超を治療,https://mainichi.jp/articles/20260721/k00/00m/030/414000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
2026-07-22,2026-07-22T08:01:02.697204+09:00,全国紙,全国,毎日新聞,阪神・高寺がサヨナラ打 藤川監督へのバースデープレゼントに,https://mainichi.jp/articles/20260721/k00/00m/050/410000c,https://mainichi.jp/rss/etc/mainichi-flash.rss,ok,
