date,article_count,ok_count,skipped_count,error_count
2026-07-22,233,224,8,1
2026-07-23,236,227,8,1
2026-07-24,236,227,8,1
2026-07-25,237,228,8,1
2026-07-26,235,226,8,1
2026-07-27,234,225,8,1
2026-07-28,1996,1987,8,1
2026-07-29,1752,1743,8,1
